Index	ThioU_6h
1	0.89989
2	0.89989
3	0.89989
4	0.89989
5	0.89989
6	0.89989
7	0.89989
8	0.89989
9	0.89989
10	0.89989
11	0.86239
12	0.86239
13	0.86239
14	0.86239
15	0.86239
16	0.86239
17	0.86239
18	0.86239
19	0.86239
20	0.86239
21	0.86239
22	0.86239
23	0.86239
24	0.86239
25	0.86239
26	0.86239
27	0.86239
28	0.86239
29	0.86239
30	0.86239
31	0.86239
32	0.86239
33	0.86239
34	0.86239
35	0.86239
36	0.86239
37	0.86239
38	0.86239
39	0.86239
40	0.86239
41	0.86239
42	0.86239
43	0.86239
44	0.86239
45	0.86239
46	0.86239
47	0.86239
48	0.86239
49	0.86239
50	0.89989
51	0.89989
52	0.89989
53	0.89989
54	0.89989
55	0.89989
56	0.89989
57	0.89989
58	0.89989
59	0.89989
60	0.89989
61	0.89989
62	0.89989
63	0.89989
64	0.89989
65	0.89989
66	0.89989
67	0.89989
68	0.89989
69	0.89989
70	0.89989
71	0.89989
72	0.89989
73	0.89989
74	0.89989
75	0.89989
76	0.89989
77	0.89989
78	0.89989
79	0.89989
80	0.89989
81	0.89989
82	0.89989
83	0.89989
84	0.89989
85	0.89989
86	0.89989
87	0.89989
88	0.89989
89	0.89989
90	0.89989
91	0.89989
92	0.89989
93	0.89989
94	0.89989
95	0.89989
96	0.89989
97	0.89989
98	0.89989
99	0.89989
100	0.89989
101	0.89989
102	0.89989
103	0.89989
104	0.89989
105	0.89989
106	0.89989
107	0.89989
108	0.89989
109	0.89989
110	0.89989
111	0.89989
112	0.89989
113	0.89989
114	0.89989
115	0.89989
116	0.89989
117	0.89989
118	0.89989
119	0.89989
120	0.89989
121	0.89989
122	0.89989
123	0.89989
124	0.89989
125	0.89989
126	0.89989
127	0.89989
128	0.89989
129	0.89989
130	0.89989
131	0.89989
132	0.89989
133	0.89989
134	0.89989
135	0.89989
136	0.89989
137	0.89989
138	0.89989
139	0.89989
140	0.89989
141	0.89989
142	0.89989
143	0.89989
144	0.89989
145	0.89989
146	0.89989
147	0.89989
148	0.89989
149	0.89989
150	0.89989
151	0.89989
152	0.89989
153	0.89989
154	0.89989
155	0.89989
156	0.89989
157	0.89989
158	0.89989
159	0.89989
160	0.89989
161	0.89989
162	0.89989
163	0.89989
164	0.89989
165	0.89989
166	0.89989
167	0.89989
168	0.89989
169	0.89989
170	0.89989
171	0.89989
172	0.89989
173	0.89989
174	0.89989
175	0.89989
176	0.89989
177	0.89989
178	0.89989
179	0.89989
180	0.89989
181	0.89989
182	0.89989
183	0.89989
184	0.89989
185	0.89989
186	0.89989
187	0.89989
188	0.89989
189	0.89989
190	0.89989
191	0.89989
192	0.89989
193	0.89989
194	0.89989
195	0.89989
196	0.89989
197	0.89989
198	0.89989
199	0.89989
200	0.89989
201	0.89989
202	0.89989
203	0.89989
204	0.89989
205	0.89989
206	0.89989
207	0.89989
208	0.89989
209	0.89989
210	0.89989
211	0.89989
212	0.89989
213	0.89989
214	0.89989
215	0.89989
216	0.89989
217	0.89989
218	0.89989
219	0.89989
220	0.89989
221	0.89989
222	0.89989
223	0.89989
224	0.89989
225	0.89989
226	0.89989
227	0.89989
228	0.89989
229	0.89989
230	0.89989
231	0.89989
232	0.89989
233	0.89989
234	0.89989
235	0.89989
236	0.89989
237	0.89989
238	0.89989
239	0.89989
240	0.89989
241	0.89989
242	0.89989
243	0.89989
244	0.89989
245	0.89989
246	0.89989
247	0.89989
248	0.89989
249	0.89989
250	0.89989
251	0.89989
252	0.89989
253	0.89989
254	0.89989
255	0.89989
256	0.89989
257	0.89989
258	0.89989
259	0.89989
260	0.89989
261	0.89989
262	0.89989
263	0.89989
264	0.89989
265	0.89989
266	0.89989
267	0.89989
268	0.89989
269	0.89989
270	0.89989
271	0.89989
272	0.89989
273	0.89989
274	0.89989
275	0.89989
276	0.89989
277	0.89989
278	0.89989
279	0.89989
280	0.89989
281	0.89989
282	0.89989
283	0.89989
284	0.89989
285	0.89989
286	0.89989
287	0.89989
288	0.89989
289	0.89989
290	0.89989
291	0.89989
292	0.89989
293	0.89989
294	0.89989
295	0.89989
296	0.89989
297	0.89989
298	0.89989
299	0.89989
300	0.89989
301	0.89989
302	0.89989
303	0.89989
304	0.89989
305	0.89989
306	0.89989
307	0.89989
308	0.89989
309	0.89989
310	0.89989
311	0.89989
312	0.89989
313	0.89989
314	0.89989
315	0.89989
316	0.89989
317	0.89989
318	0.89989
319	0.89989
320	0.89989
321	0.89989
322	0.89989
323	0.89989
324	0.89989
325	0.89989
326	0.89989
327	0.89989
328	0.89989
329	0.89989
330	0.89989
331	0.89989
332	0.89989
333	0.89989
334	0.89989
335	0.89989
336	0.89989
337	0.89989
338	0.89989
339	0.89989
340	0.89989
341	0.89989
342	0.89989
343	0.89989
344	0.89989
345	0.89989
346	0.89989
347	0.89989
348	0.89989
349	0.89989
350	0.89989
351	0.89989
352	0.89989
353	0.89989
354	0.89989
355	0.89989
356	0.89989
357	0.89989
358	0.89989
359	0.89989
360	0.89989
361	0.89989
362	0.89989
363	0.89989
364	0.89989
365	0.89989
366	0.89989
367	0.89989
368	0.89989
369	0.89989
370	0.89989
371	0.89989
372	0.89989
373	0.89989
374	0.89989
375	0.89989
376	0.89989
377	0.89989
378	0.89989
379	0.89989
380	0.89989
381	0.89989
382	0.89989
383	0.89989
384	0.89989
385	0.89989
386	0.89989
387	0.89989
388	0.89989
389	0.89989
390	0.89989
391	0.89989
392	0.89989
393	0.89989
394	0.89989
395	0.89989
396	0.89989
397	0.89989
398	0.89989
399	0.89989
400	0.89989
401	0.89989
402	0.89989
403	0.89989
404	0.89989
405	0.89989
406	0.89989
407	0.89989
408	0.89989
409	0.89989
410	0.89989
411	0.89989
412	0.89989
413	0.89989
414	0.89989
415	0.89989
416	0.89989
417	0.89989
418	0.89989
419	0.89989
420	0.89989
421	0.89989
422	0.89989
423	0.89989
424	0.89989
425	0.89989
426	0.89989
427	0.89989
428	0.89989
429	0.89989
430	0.89989
431	0.89989
432	0.89989
433	0.89989
434	0.89989
435	0.89989
436	0.89989
437	0.89989
438	0.89989
439	0.89989
440	0.89989
441	0.89989
442	0.89989
443	0.89989
444	0.89989
445	0.89989
446	0.89989
447	0.89989
448	0.89989
