"Time"	"Abs"
0	17.13536
0.0017	11.2111
0.0033	9.298838
0.005	11.2111
0.0067	16.91039
0.0083	18.78515
0.01	19.42257
0.0117	19.61005
0.0133	19.68504
0.015	19.68504
0.0167	19.68504
0.0183	19.72253
0.02	19.72253
0.0217	19.68504
0.0233	19.68504
0.025	19.68504
0.0267	19.68504
0.0283	19.68504
0.03	19.68504
0.0317	19.68504
0.0333	19.68504
0.035	19.68504
0.0367	19.68504
0.0383	19.68504
0.04	19.68504
0.0417	19.68504
0.0433	19.68504
0.045	19.64754
0.0467	19.64754
0.0483	19.64754
0.05	19.64754
0.0517	19.64754
0.0533	19.64754
0.055	19.64754
0.0567	19.64754
0.0583	19.64754
0.06	19.64754
0.0617	19.64754
0.0633	19.64754
0.065	19.64754
0.0667	19.64754
0.0683	19.64754
0.07	19.61005
0.0717	19.61005
0.0733	19.61005
0.075	19.61005
0.0767	19.61005
0.0783	19.61005
0.08	19.61005
0.0817	19.61005
0.0833	19.61005
0.085	19.61005
0.0867	19.61005
0.0883	19.61005
0.09	19.61005
0.0917	19.61005
0.0933	19.61005
0.095	19.61005
0.0967	19.57255
0.0983	19.57255
0.1	19.57255
0.1017	19.57255
0.1033	19.57255
0.105	19.57255
0.1067	19.57255
0.1083	19.57255
0.11	19.57255
0.1117	19.57255
0.1133	19.57255
0.115	19.57255
0.1167	19.57255
0.1183	19.57255
0.12	19.57255
0.1217	19.57255
0.1233	19.61005
0.125	19.61005
0.1267	19.61005
0.1283	19.61005
0.13	19.64754
0.1317	19.64754
0.1333	19.64754
0.135	19.64754
0.1367	19.64754
0.1383	19.68504
0.14	19.68504
0.1417	19.68504
0.1433	19.68504
0.145	19.68504
0.1467	19.68504
0.1483	19.68504
0.15	19.68504
0.1517	19.68504
0.1533	19.68504
0.155	19.68504
0.1567	19.68504
0.1583	19.68504
0.16	19.68504
0.1617	19.68504
0.1633	19.68504
0.165	19.68504
0.1667	19.68504
0.1683	19.68504
0.17	19.68504
0.1717	19.68504
0.1733	19.68504
0.175	19.68504
0.1767	19.68504
0.1783	19.68504
0.18	19.68504
0.1817	19.68504
0.1833	19.68504
0.185	19.68504
0.1867	19.68504
0.1883	19.68504
0.19	19.68504
0.1917	19.68504
0.1933	19.68504
