FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
745852, 316004, 0.00, 0.312363, 0, 0.200
745437, 316016, 0.00, 0.313579, , 
740088, 316017, 0.01, 0.328321, , 
503904, 316009, 0.02, 1.114759, , 
485817, 316123, 0.08, 1.190290, , 
515306, 316049, 0.15, 1.069236, , 
539430, 315983, 0.21, 0.975195, , 
545276, 316074, 0.28, 0.953729, , 
547633, 316178, 0.34, 0.945577, , 
548797, 316051, 0.41, 0.940411, , 
550450, 316146, 0.48, 0.934872, , 
552158, 316082, 0.54, 0.928118, , 
553288, 316097, 0.61, 0.924032, , 
553586, 315968, 0.67, 0.922096, , 
553394, 315975, 0.74, 0.922851, , 
403069, 315924, 0.81, 1.571060, , 
257434, 315867, 0.87, 2.488052, , 
562481, 315930, 0.94, 0.889234, , 
678474, 316035, 1.01, 0.506291, , 
716722, 315977, 1.07, 0.393703, , 
727128, 315891, 1.14, 0.363653, , 
729420, 315903, 1.21, 0.357291, , 
737233, 316017, 1.27, 0.336229, , 
745890, 315917, 1.34, 0.311695, , 
833666, 315860, 1.40, 0.083687, , 
791044, 315971, 1.47, 0.191784, , 
808646, 315942, 1.54, 0.146566, , 
805007, 315976, 1.60, 0.156015, , 
801899, 315973, 1.67, 0.163910, , 
800956, 316127, 1.74, 0.167315, , 
799391, 315994, 1.80, 0.170456, , 
797983, 315949, 1.87, 0.173771, , 
797280, 316031, 1.93, 0.176106, , 
796525, 316100, 2.00, 0.178491, , 
796301, 316252, 2.07, 0.180050, , 
795629, 316130, 2.13, 0.180988, , 
795302, 316071, 2.20, 0.181447, 1, 0.311
794741, 315905, 2.26, 0.181816, , 
794272, 315805, 2.33, 0.182376, , 
794077, 315801, 2.39, 0.182853, , 
793819, 315796, 2.46, 0.183485, , 
793724, 315852, 2.53, 0.184093, , 
793698, 315891, 2.59, 0.184413, , 
793499, 315843, 2.66, 0.184615, , 
793190, 315767, 2.73, 0.184919, , 
793391, 315957, 2.79, 0.185632, , 
793292, 315990, 2.86, 0.186101, , 
792887, 315872, 2.92, 0.186381, , 
792859, 315907, 2.99, 0.186680, , 
792644, 315862, 3.06, 0.186944, , 
792834, 315969, 3.12, 0.187146, , 
792623, 315912, 3.19, 0.187322, , 
792698, 315957, 3.26, 0.187420, , 
792474, 315889, 3.32, 0.187557, , 
792684, 315986, 3.39, 0.187644, , 
792572, 315945, 3.46, 0.187667, , 
792489, 315933, 3.53, 0.187804, , 
792248, 315861, 3.59, 0.187960, , 
792314, 315902, 3.65, 0.188055, , 
792256, 315904, 3.72, 0.188218, , 
790380, 315927, 3.79, 0.193217, , 
783852, 315905, 3.85, 0.210044, , 
784720, 316014, 3.92, 0.208486, , 
272373, 315818, 3.99, 2.372316, , 
100939, 315923, 4.05, 4.404078, , 
100452, 315966, 4.12, 4.414253, , 
98832, 315912, 4.18, 4.447170, , 
97360, 316006, 4.25, 4.478482, , 
96127, 315905, 4.31, 4.503906, 2, 0.302
95128, 315893, 4.38, 4.525204, , 
94729, 315821, 4.45, 4.533338, , 
93959, 315781, 4.51, 4.549778, , 
92877, 315804, 4.58, 4.573626, , 
91732, 315841, 4.64, 4.599248, , 
90963, 315794, 4.71, 4.616168, , 
90343, 315882, 4.78, 4.630732, , 
89773, 315814, 4.84, 4.643242, , 
89219, 315814, 4.91, 4.655908, , 
88618, 315767, 4.98, 4.669433, , 
88071, 315843, 5.04, 4.682594, , 
87641, 315821, 5.11, 4.692466, , 
87011, 315958, 5.18, 4.708115, , 
86466, 315944, 5.24, 4.720881, , 
86162, 316026, 5.31, 4.728618, , 
85846, 316132, 5.37, 4.736822, , 
85587, 316068, 5.44, 4.742590, , 
85318, 316016, 5.51, 4.748695, , 
85095, 316017, 5.57, 4.754056, , 
84969, 315867, 5.64, 4.756117, , 
84989, 315899, 5.71, 4.755843, , 
84868, 315892, 5.77, 4.758712, , 
84814, 315805, 5.84, 4.759451, , 
85144, 315827, 5.90, 4.751648, , 
85017, 315791, 5.97, 4.754469, , 
85080, 315813, 6.04, 4.753096, , 
85366, 315837, 6.10, 4.746385, , 
85627, 315780, 6.17, 4.739769, , 
86105, 315826, 6.24, 4.728677, , 
86690, 315897, 6.30, 4.715282, , 
87087, 315874, 6.36, 4.705785, , 
87727, 315754, 6.43, 4.690025, 3, 0.302
88291, 315816, 6.50, 4.677315, , 
