FlowCell Text Data File: 20181001SSBgfpPlusHexokinase1.csv
Software Version: 1.50A
Date: 2018-10-01
Time: 17:03:03
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0,250 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.4 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 7 mm
Number of fractions: 40
Distance/fraction: 2.11 mm
Start Distance: 0.00 mm
Volume/fraction: 0.301 ml
Data Samples/mm: 12.50

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 474 nm
Excitation filter A: 474/50 nm
Emission filter A: 535/50 nm
Sensitivity: 0
Integration time: 320 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 74 ms
PD2 (474 nm) On Time: 320 ms
Sample A Zero: 852802
Source A Zero: 346748.6
Fluorescence Zero: 633

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
552691, 346388, 2979, 0.00, 0.973735, , 
623703, 346437, 2288, 0.08, 0.702031, , 
675668, 346135, 2809, 0.16, 0.519972, , 
514524, 346291, 7550, 0.24, 1.134139, , 
580641, 346276, 3162, 0.32, 0.861985, , 
571635, 346378, 3070, 0.40, 0.897827, , 
592619, 346156, 2787, 0.48, 0.815253, , 
581179, 346250, 3086, 0.56, 0.859732, , 
604165, 346172, 4027, 0.64, 0.771934, , 
622221, 346189, 2407, 0.72, 0.705773, , 
617003, 346213, 2374, 0.80, 0.724881, , 
621142, 346373, 2341, 0.88, 0.710875, , 
624758, 346438, 2203, 0.96, 0.698234, , 
657291, 346161, 2198, 1.04, 0.582197, , 
610989, 346115, 2474, 1.12, 0.746287, , 
609932, 346193, 2432, 1.20, 0.750691, , 
609708, 346183, 2419, 1.28, 0.751452, , 
610442, 346159, 2406, 1.36, 0.748589, , 
612240, 346145, 2388, 1.44, 0.741879, , 
614411, 346082, 2368, 1.52, 0.733504, , 
616748, 346130, 2356, 1.60, 0.725272, , 
619516, 346161, 2321, 1.68, 0.715396, , 
621426, 345988, 2328, 1.76, 0.707344, , 
623853, 346136, 2307, 1.84, 0.699534, , 
626285, 346478, 2676, 1.92, 0.693001, , 
636000, 346411, 2281, 2.00, 0.657924, , 
396131, 346212, 14104, 2.08, 1.722108, , 
128110, 346050, 39890, 2.16, 4.261471, 1, 0.282
182360, 346089, 39803, 2.24, 3.467111, , 
177271, 346004, 40261, 2.32, 3.530253, , 
175753, 346329, 40522, 2.40, 3.551719, , 
175192, 346173, 40700, 2.48, 3.557900, , 
174880, 346088, 40964, 2.56, 3.561359, , 
174140, 346142, 41205, 2.64, 3.571253, , 
172869, 346007, 41527, 2.72, 3.586860, , 
171762, 345988, 41792, 2.80, 3.601194, , 
171009, 346120, 42036, 2.88, 3.611940, , 
170256, 346256, 42283, 2.96, 3.622756, , 
169429, 346047, 42566, 3.04, 3.632355, , 
168837, 346045, 42842, 3.12, 3.640219, , 
168446, 346239, 43120, 3.20, 3.646698, , 
167915, 346059, 43429, 3.28, 3.652633, , 
167560, 346017, 43713, 3.37, 3.657122, , 
167322, 346026, 43995, 3.44, 3.660380, , 
167044, 346015, 44338, 3.53, 3.664050, , 
167004, 346093, 44745, 3.60, 3.665097, , 
167029, 346056, 45063, 3.69, 3.664519, , 
167053, 346140, 45653, 3.76, 3.664742, , 
166962, 346024, 46480, 3.85, 3.665214, , 
166962, 345940, 47573, 3.92, 3.664667, , 
166775, 346128, 48441, 4.01, 3.668412, , 
167454, 346068, 49774, 4.09, 3.658878, , 
168479, 346004, 50903, 4.17, 3.644729, , 
168775, 346093, 52227, 4.25, 3.641357, 2, 0.297
169599, 346185, 53563, 4.33, 3.630995, , 
170073, 346142, 54799, 4.41, 3.624435, , 
171052, 346058, 56362, 4.48, 3.610971, , 
172459, 345944, 57783, 4.57, 3.591794, , 
173617, 346046, 59399, 4.65, 3.577398, , 
175873, 346203, 61043, 4.73, 3.549364, , 
177770, 346162, 62590, 4.81, 3.524954, , 
180579, 346209, 64031, 4.89, 3.489978, , 
182920, 346083, 65209, 4.97, 3.460172, , 
186105, 346356, 66363, 5.05, 3.423099, , 
189184, 346283, 67258, 5.13, 3.385697, , 
192623, 346242, 68121, 5.21, 3.344889, , 
196257, 346294, 68660, 5.29, 3.303166, , 
199270, 346153, 68975, 5.37, 3.267963, , 
203825, 346164, 69149, 5.45, 3.217172, , 
207512, 346063, 69111, 5.53, 3.176171, , 
213426, 346171, 69081, 5.61, 3.113634, , 
217693, 346093, 68668, 5.69, 3.068578, , 
223867, 346354, 68220, 5.77, 3.007338, , 
230146, 346354, 67462, 5.85, 2.945087, , 
235759, 346339, 66562, 5.93, 2.890763, , 
243281, 346391, 65497, 6.01, 2.820421, , 
249096, 346227, 64293, 6.09, 2.766197, , 
257484, 346333, 62899, 6.17, 2.692353, , 
263715, 346252, 61423, 6.25, 2.638016, , 
271830, 346395, 59725, 6.33, 2.570739, , 
278884, 346317, 58019, 6.41, 2.512578, 3, 0.309
286282, 346338, 56278, 6.49, 2.453795, , 
295060, 346352, 54371, 6.57, 2.385920, , 
303349, 346295, 52519, 6.65, 2.323201, , 
312295, 346235, 50207, 6.73, 2.257404, , 
322315, 346451, 48201, 6.81, 2.187736, , 
330959, 346286, 45977, 6.89, 2.127106, , 
340682, 346397, 43842, 6.97, 2.062666, , 
349134, 346420, 41744, 7.05, 2.007665, , 
360020, 346468, 39475, 7.13, 1.938880, , 
368276, 346450, 37563, 7.21, 1.887739, , 
376553, 346389, 35559, 7.29, 1.837324, , 
384857, 346275, 33549, 7.37, 1.787494, , 
394515, 346335, 31526, 7.45, 1.732107, , 
405782, 346225, 29294, 7.53, 1.668022, , 
415101, 346117, 27562, 7.61, 1.616222, , 
425407, 346178, 25560, 7.69, 1.561428, , 
434875, 346181, 24047, 7.77, 1.511910, , 
444669, 346433, 22250, 7.85, 1.463427, , 
454194, 346329, 20886, 7.93, 1.415055, , 
463947, 346357, 19352, 8.01, 1.367424, , 
474301, 346372, 17961, 8.09, 1.317851, , 
480634, 346265, 16936, 8.17, 1.287306, , 
488056, 346168, 15749, 8.26, 1.252189, , 
494457, 346346, 14868, 8.33, 1.224023, , 
502484, 346171, 13525, 8.42, 1.186645, , 
517013, 346422, 12421, 8.49, 1.124130, 4, 0.298
520138, 346283, 11691, 8.58, 1.109665, , 
532108, 346349, 10698, 8.65, 1.058891, , 
538684, 346212, 10081, 8.74, 1.030360, , 
548594, 346356, 9253, 8.81, 0.990271, , 
556073, 346069, 8709, 8.90, 0.957933, , 
561825, 346077, 8285, 8.97, 0.934826, , 
570752, 346179, 7742, 9.06, 0.900012, , 
570274, 346053, 7518, 9.14, 0.901079, , 
576090, 346070, 7125, 9.22, 0.878354, , 
576093, 346101, 6858, 9.30, 0.878544, , 
582279, 346253, 6275, 9.38, 0.855496, , 
590271, 346006, 5950, 9.46, 0.823212, , 
590480, 346224, 5678, 9.54, 0.823833, , 
600403, 346241, 5289, 9.62, 0.786439, , 
602790, 346297, 5134, 9.70, 0.777874, , 
606698, 346220, 4841, 9.78, 0.762830, , 
613081, 346359, 4654, 9.86, 0.740181, , 
614449, 346268, 4492, 9.94, 0.734574, , 
620735, 346211, 4294, 10.02, 0.711297, , 
620475, 346276, 4229, 10.10, 0.712663, , 
623198, 346478, 3996, 10.18, 0.704121, , 
624936, 346438, 3865, 10.26, 0.697593, , 
627148, 346269, 3659, 10.34, 0.688544, , 
633030, 346234, 3542, 10.42, 0.667308, , 
633896, 346187, 3454, 10.50, 0.663926, , 
637112, 346181, 3319, 10.58, 0.652498, 5, 0.297
638832, 346183, 3264, 10.66, 0.646444, , 
642412, 346071, 3099, 10.74, 0.633140, , 
644403, 346024, 3071, 10.82, 0.625870, , 
647370, 346122, 2942, 10.90, 0.616170, , 
650226, 346114, 2903, 10.98, 0.606211, , 
651178, 346191, 2830, 11.06, 0.603419, , 
653773, 346141, 2748, 11.14, 0.594144, , 
654060, 346183, 2693, 11.22, 0.593429, , 
655233, 346214, 2615, 11.30, 0.589598, , 
656890, 346175, 2577, 11.38, 0.583661, , 
659344, 346219, 2473, 11.46, 0.575556, , 
656175, 346157, 2697, 11.54, 0.585995, , 
662494, 346128, 2339, 11.62, 0.564238, , 
663786, 346314, 2367, 11.70, 0.561063, , 
665841, 346308, 2351, 11.78, 0.554067, , 
668094, 346313, 2303, 11.86, 0.546498, , 
668635, 346486, 2268, 11.94, 0.545800, , 
670376, 346152, 2202, 12.02, 0.537778, , 
670325, 345889, 2198, 12.10, 0.536238, , 
670957, 345981, 2164, 12.18, 0.534716, , 
671965, 346311, 2119, 12.26, 0.533483, , 
673964, 346237, 2066, 12.34, 0.526318, , 
674981, 346314, 2034, 12.42, 0.523425, , 
674051, 346139, 2015, 12.50, 0.525390, , 
675187, 346097, 1972, 12.58, 0.521327, , 
676020, 346007, 1942, 12.66, 0.517967, , 
677102, 346113, 1916, 12.75, 0.515058, 6, 0.309
678110, 346265, 1894, 12.82, 0.512698, , 
679065, 346329, 1869, 12.91, 0.509947, , 
680316, 346466, 1825, 12.98, 0.506695, , 
680364, 346332, 1808, 13.07, 0.505666, , 
679942, 346271, 1781, 13.14, 0.506665, , 
680474, 346155, 1765, 13.23, 0.504151, , 
681431, 346273, 1732, 13.31, 0.501756, , 
682635, 346342, 1708, 13.38, 0.498231, , 
682990, 346452, 1701, 13.47, 0.497776, , 
683712, 346280, 1670, 13.54, 0.494281, , 
683851, 346231, 1658, 13.63, 0.493505, , 
684661, 346249, 1627, 13.70, 0.490958, , 
684694, 346193, 1639, 13.79, 0.490485, , 
685475, 346333, 1615, 13.86, 0.488830, , 
686172, 346244, 1586, 13.95, 0.485964, , 
684996, 346293, 1571, 14.02, 0.490143, , 
685578, 346403, 1575, 14.11, 0.488946, , 
685233, 346159, 1565, 14.19, 0.488493, , 
686145, 346170, 1548, 14.27, 0.485572, , 
686422, 346300, 1551, 14.35, 0.485508, , 
685826, 346048, 1507, 14.43, 0.485825, , 
686653, 346169, 1496, 14.51, 0.483900, , 
686489, 346120, 1476, 14.59, 0.484119, , 
687517, 346113, 1465, 14.67, 0.480706, , 
687797, 346285, 1466, 14.75, 0.480907, , 
688768, 346291, 1458, 14.83, 0.477772, 7, 0.298
687494, 346228, 1436, 14.91, 0.481529, , 
686073, 346354, 1421, 14.99, 0.487004, , 
687352, 346137, 1433, 15.07, 0.481402, , 
686125, 346130, 1413, 15.15, 0.485377, , 
686964, 346330, 1392, 15.23, 0.483927, , 
687522, 346223, 1397, 15.31, 0.481404, , 
686588, 346089, 1376, 15.39, 0.483593, , 
688757, 346119, 1362, 15.47, 0.476689, , 
687108, 346234, 1353, 15.55, 0.482831, , 
688790, 346308, 1356, 15.63, 0.477810, , 
688518, 346412, 1351, 15.71, 0.479375, , 
688723, 346486, 1349, 15.79, 0.479185, , 
688252, 346442, 1313, 15.87, 0.480439, , 
686611, 346297, 1327, 15.95, 0.484869, , 
688093, 346427, 1322, 16.03, 0.480862, , 
687790, 346431, 1311, 16.11, 0.481879, , 
687641, 346538, 1293, 16.19, 0.483061, , 
688665, 346449, 1289, 16.27, 0.479135, , 
687099, 346409, 1311, 16.35, 0.483998, , 
687894, 346214, 1291, 16.43, 0.480129, , 
686849, 346321, 1267, 16.51, 0.484245, , 
688200, 346329, 1255, 16.59, 0.479875, , 
687151, 346287, 1268, 16.67, 0.483035, , 
686740, 346227, 1245, 16.75, 0.483992, , 
685785, 346156, 1243, 16.83, 0.486662, , 
684571, 346122, 1239, 16.91, 0.490428, 8, 0.297
685722, 346280, 1235, 16.99, 0.487674, , 
684005, 346193, 1226, 17.07, 0.492751, , 
684995, 346270, 1212, 17.15, 0.489997, , 
683721, 346295, 1224, 17.23, 0.494349, , 
683591, 346239, 1199, 17.31, 0.494412, , 
683406, 346368, 1217, 17.39, 0.495860, , 
682774, 346597, 1191, 17.47, 0.499429, , 
682806, 346374, 1200, 17.55, 0.497876, , 
681013, 346456, 1203, 17.64, 0.504325, , 
680919, 346323, 1195, 17.71, 0.503772, , 
678328, 346479, 1187, 17.80, 0.513365, , 
677647, 346384, 1189, 17.87, 0.515008, , 
676631, 346259, 1205, 17.96, 0.517573, , 
674781, 346323, 1187, 18.03, 0.524150, , 
675044, 346189, 1200, 18.12, 0.522402, , 
673696, 346324, 1208, 18.19, 0.527778, , 
672914, 346303, 1204, 18.28, 0.530255, , 
672750, 346315, 1233, 18.36, 0.530882, , 
671523, 346490, 1252, 18.44, 0.536127, , 
671918, 346285, 1286, 18.52, 0.533472, , 
670458, 346328, 1299, 18.60, 0.538646, , 
670268, 346307, 1306, 18.68, 0.539148, , 
669612, 346449, 1348, 18.75, 0.542274, , 
667691, 346297, 1369, 18.84, 0.547752, , 
669015, 346446, 1411, 18.91, 0.544262, , 
668104, 346388, 1439, 19.00, 0.546952, , 
668880, 346413, 1467, 19.08, 0.544502, 9, 0.309
668568, 346487, 1511, 19.16, 0.546032, , 
668661, 346478, 1534, 19.24, 0.545661, , 
669303, 346451, 1559, 19.32, 0.543326, , 
668973, 346392, 1579, 19.40, 0.544052, , 
669706, 346432, 1601, 19.48, 0.541848, , 
669668, 346303, 1622, 19.56, 0.541137, , 
670783, 346419, 1623, 19.64, 0.538147, , 
669563, 346357, 1636, 19.72, 0.541841, , 
670508, 346530, 1633, 19.80, 0.539791, , 
670973, 346373, 1646, 19.88, 0.537211, , 
671544, 346434, 1631, 19.96, 0.535693, , 
673846, 346463, 1638, 20.04, 0.528180, , 
673062, 346629, 1621, 20.12, 0.531878, , 
675076, 346489, 1606, 20.20, 0.524245, , 
674542, 346534, 1589, 20.28, 0.526318, , 
676277, 346396, 1560, 20.36, 0.519641, , 
676352, 346392, 1554, 20.44, 0.519365, , 
676741, 346458, 1518, 20.52, 0.518500, , 
678166, 346264, 1510, 20.60, 0.512506, , 
676817, 346431, 1484, 20.68, 0.518072, , 
678854, 346297, 1446, 20.76, 0.510438, , 
677812, 346340, 1404, 20.84, 0.514175, , 
679074, 346257, 1369, 20.92, 0.509449, , 
679665, 346304, 1353, 21.00, 0.507797, , 
680348, 346478, 1320, 21.08, 0.506667, , 
681149, 346232, 1282, 21.16, 0.502421, 10, 0.297
680300, 346443, 1255, 21.24, 0.506598, , 
681586, 346363, 1227, 21.32, 0.501829, , 
681450, 346252, 1212, 21.40, 0.501556, , 
682207, 346226, 1187, 21.48, 0.498889, , 
681774, 346438, 1158, 21.56, 0.501695, , 
681364, 346333, 1153, 21.64, 0.502367, , 
681906, 346409, 1129, 21.72, 0.501071, , 
681699, 346333, 1114, 21.80, 0.501261, , 
682477, 346450, 1091, 21.88, 0.499454, , 
682903, 346559, 1087, 21.96, 0.498758, , 
682390, 346560, 1074, 22.04, 0.500455, , 
682574, 346364, 1063, 22.12, 0.498575, , 
682126, 346464, 1062, 22.20, 0.500703, , 
682521, 346463, 1037, 22.28, 0.499393, , 
682775, 346516, 1041, 22.36, 0.498900, , 
682725, 346479, 1033, 22.44, 0.498825, , 
681671, 346368, 1025, 22.52, 0.501580, , 
681023, 346517, 1020, 22.60, 0.504689, , 
681536, 346417, 1034, 22.69, 0.502345, , 
680457, 346316, 1026, 22.76, 0.505254, , 
681433, 346553, 999, 22.85, 0.503568, , 
680600, 346527, 998, 22.92, 0.506152, , 
681177, 346493, 989, 23.01, 0.504024, , 
681012, 346542, 994, 23.08, 0.504887, , 
680522, 346539, 984, 23.17, 0.506488, , 
681443, 346596, 987, 23.24, 0.503814, 11, 0.298
680230, 346449, 983, 23.33, 0.506869, , 
681491, 346571, 968, 23.41, 0.503493, , 
679588, 346632, 971, 23.49, 0.510182, , 
679075, 346472, 970, 23.57, 0.510843, , 
679678, 346403, 965, 23.65, 0.508397, , 
678400, 346329, 962, 23.73, 0.512152, , 
679812, 346451, 951, 23.81, 0.508265, , 
678461, 346419, 961, 23.89, 0.512534, , 
679725, 346374, 954, 23.97, 0.508053, , 
679149, 346323, 956, 24.05, 0.509630, , 
678120, 346156, 945, 24.13, 0.511956, , 
679306, 346256, 945, 24.21, 0.508674, , 
678866, 346306, 949, 24.29, 0.510457, , 
679621, 346412, 946, 24.37, 0.508644, , 
678183, 346247, 945, 24.45, 0.512339, , 
677409, 346242, 950, 24.53, 0.514876, , 
678370, 346389, 937, 24.61, 0.512641, , 
677795, 346453, 945, 24.69, 0.514965, , 
678976, 346552, 970, 24.77, 0.511690, , 
677892, 346532, 967, 24.85, 0.515156, , 
677859, 346438, 937, 24.93, 0.514655, , 
677520, 346452, 945, 25.01, 0.515872, , 
677917, 346817, 947, 25.09, 0.516923, , 
677411, 346735, 944, 25.17, 0.518072, , 
676903, 346424, 947, 25.25, 0.517740, , 
676584, 346459, 955, 25.33, 0.519029, , 
675427, 346550, 952, 25.41, 0.523471, 12, 0.309
674623, 346557, 948, 25.49, 0.526197, , 
673932, 346492, 956, 25.57, 0.528081, , 
673386, 346667, 966, 25.65, 0.531042, , 
674238, 346743, 964, 25.73, 0.528689, , 
671439, 346632, 965, 25.81, 0.537331, , 
671622, 346478, 966, 25.89, 0.535717, , 
669997, 346466, 977, 25.97, 0.541091, , 
669964, 346628, 972, 26.05, 0.542254, , 
669198, 346712, 985, 26.13, 0.545374, , 
667846, 346626, 991, 26.21, 0.549366, , 
667694, 346662, 977, 26.29, 0.550112, , 
664866, 346543, 985, 26.37, 0.558892, , 
663919, 346528, 991, 26.45, 0.562002, , 
662298, 346464, 992, 26.53, 0.567088, , 
660691, 346425, 979, 26.61, 0.572301, , 
661077, 346658, 986, 26.69, 0.572500, , 
658871, 346631, 987, 26.77, 0.579847, , 
659055, 346813, 973, 26.85, 0.580400, , 
656806, 346637, 996, 26.93, 0.586950, , 
655786, 346561, 984, 27.02, 0.589954, , 
655070, 346489, 972, 27.09, 0.591945, , 
653592, 346486, 965, 27.18, 0.597009, , 
653004, 346338, 959, 27.25, 0.598073, , 
651008, 346245, 957, 27.34, 0.604358, , 
650384, 346315, 947, 27.41, 0.606971, , 
650221, 346409, 946, 27.50, 0.608146, 13, 0.297
649648, 346347, 940, 27.57, 0.609727, , 
650162, 346370, 936, 27.66, 0.608097, , 
649227, 346447, 927, 27.74, 0.611836, , 
649971, 346503, 923, 27.81, 0.609622, , 
648965, 346395, 928, 27.90, 0.612406, , 
650356, 346567, 920, 27.97, 0.608705, , 
649683, 346308, 921, 28.06, 0.609352, , 
650241, 346530, 915, 28.13, 0.608862, , 
651373, 346494, 905, 28.22, 0.604714, , 
650777, 346678, 905, 28.29, 0.607969, , 
652244, 346459, 895, 28.38, 0.601480, , 
652076, 346602, 894, 28.46, 0.602988, , 
653467, 346474, 896, 28.54, 0.597361, , 
654202, 346547, 895, 28.62, 0.595306, , 
655784, 346507, 887, 28.70, 0.589611, , 
656373, 346322, 887, 28.78, 0.586388, , 
656785, 346255, 889, 28.86, 0.584541, , 
659033, 346397, 876, 28.94, 0.577774, , 
658750, 346255, 891, 29.02, 0.577818, , 
660881, 346313, 881, 29.10, 0.570927, , 
661389, 346388, 874, 29.18, 0.569685, , 
661241, 346319, 873, 29.26, 0.569740, , 
663384, 346561, 872, 29.34, 0.564030, , 
663481, 346289, 887, 29.42, 0.561934, , 
665000, 346448, 873, 29.50, 0.557821, , 
666098, 346618, 875, 29.58, 0.555212, 14, 0.298
665919, 346481, 872, 29.66, 0.554928, , 
667561, 346455, 872, 29.74, 0.549217, , 
667219, 346416, 874, 29.82, 0.550116, , 
668541, 346420, 869, 29.90, 0.545688, , 
669251, 346606, 874, 29.98, 0.544507, , 
669545, 346504, 878, 30.06, 0.542856, , 
669085, 346386, 871, 30.14, 0.543637, , 
668993, 346488, 876, 30.22, 0.544609, , 
670190, 346369, 873, 30.30, 0.539813, , 
669764, 346658, 878, 30.38, 0.543120, , 
671180, 346619, 868, 30.46, 0.538114, , 
670147, 346397, 881, 30.54, 0.540139, , 
670350, 346501, 886, 30.62, 0.540133, , 
670506, 346442, 877, 30.70, 0.539226, , 
669484, 346361, 892, 30.78, 0.542133, , 
670151, 346414, 891, 30.86, 0.540236, , 
669218, 346333, 899, 30.94, 0.542845, , 
